Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Gene ontology (GO)	Gene ontology IDs
Q9IA05	FZD4_CHICK	reviewed	Frizzled-4 (Fz-4) (cFz-4)	FZD4 FZ4	Gallus gallus (Chicken)	blood vessel development [GO:0001568]; canonical Wnt signaling pathway [GO:0060070]; cellular response to leukemia inhibitory factor [GO:1990830]; cerebellum vasculature morphogenesis [GO:0061301]; extracellular matrix-cell signaling [GO:0035426]; locomotion involved in locomotory behavior [GO:0031987]; luteinization [GO:0001553]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell-substrate adhesion [GO:0010812]; Norrin signaling pathway [GO:0110135]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of neuron projection arborization [GO:0150012]; positive regulation of transcription, DNA-templated [GO:0045893]; progesterone secretion [GO:0042701]; regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030947]; retinal blood vessel morphogenesis [GO:0061304]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; sensory perception of sound [GO:0007605]; substrate adhesion-dependent cell spreading [GO:0034446]; vasculogenesis [GO:0001570]; Wnt signaling pathway [GO:0016055]; Wnt signaling pathway, calcium modulating pathway [GO:0007223]	cell surface [GO:0009986]; cell-cell junction [GO:0005911]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amyloid-beta binding [GO:0001540]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; G protein-coupled receptor activity [GO:0004930]; PDZ domain binding [GO:0030165]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; ubiquitin protein ligase binding [GO:0031625]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]; blood vessel development [GO:0001568]; canonical Wnt signaling pathway [GO:0060070]; cellular response to leukemia inhibitory factor [GO:1990830]; cerebellum vasculature morphogenesis [GO:0061301]; extracellular matrix-cell signaling [GO:0035426]; locomotion involved in locomotory behavior [GO:0031987]; luteinization [GO:0001553]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell-substrate adhesion [GO:0010812]; Norrin signaling pathway [GO:0110135]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of neuron projection arborization [GO:0150012]; positive regulation of transcription, DNA-templated [GO:0045893]; progesterone secretion [GO:0042701]; regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030947]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; retinal blood vessel morphogenesis [GO:0061304]; sensory perception of sound [GO:0007605]; substrate adhesion-dependent cell spreading [GO:0034446]; vasculogenesis [GO:0001570]; Wnt signaling pathway [GO:0016055]; Wnt signaling pathway, calcium modulating pathway [GO:0007223]	GO:0001540; GO:0001553; GO:0001568; GO:0001570; GO:0004896; GO:0004930; GO:0005615; GO:0005886; GO:0005911; GO:0007223; GO:0007605; GO:0009986; GO:0010812; GO:0016021; GO:0016055; GO:0017147; GO:0019955; GO:0030165; GO:0030425; GO:0030947; GO:0031625; GO:0031987; GO:0034446; GO:0035426; GO:0042701; GO:0042803; GO:0042813; GO:0043507; GO:0044877; GO:0045893; GO:0046982; GO:0051091; GO:0060070; GO:0061299; GO:0061301; GO:0061304; GO:0070062; GO:0090090; GO:0098978; GO:0110135; GO:0150012; GO:1990830
Q64620	PPP6_RAT	reviewed	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) (Protein phosphatase V) (PP-V)	Ppp6c Ppv	Rattus norvegicus (Rat)	cell cycle [GO:0007049]; innate immune response [GO:0045087]; protein dephosphorylation [GO:0006470]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; protein serine phosphatase activity [GO:0106306]; protein serine/threonine phosphatase activity [GO:0004722]; protein threonine phosphatase activity [GO:0106307]; cell cycle [GO:0007049]; innate immune response [GO:0045087]; protein dephosphorylation [GO:0006470]	GO:0004722; GO:0005739; GO:0005829; GO:0006470; GO:0007049; GO:0045087; GO:0046872; GO:0106306; GO:0106307
Q8BJM3	R3HCL_MOUSE	reviewed	Coiled-coil domain-containing protein R3HCC1L (Growth inhibition and differentiation-related protein 88 homolog) (R3H and coiled-coil domain-containing protein 1-like)	R3hcc1l D19Ertd386e Gidrp88	Mus musculus (Mouse)			
Q7ZWE3	LARP7_DANRE	reviewed	La-related protein 7 (La ribonucleoprotein domain family member 7)	larp7 zgc:56476	Danio rerio (Zebrafish) (Brachydanio rerio)	box C/D RNA 3'-end processing [GO:0000494]; cardiac muscle tissue regeneration [GO:0061026]; cell differentiation [GO:0030154]; mRNA processing [GO:0006397]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of snRNA transcription by RNA polymerase II [GO:1905382]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of mRNA splicing, via spliceosome [GO:0048024]; RNA splicing [GO:0008380]; spermatogenesis [GO:0007283]; U6 2'-O-snRNA methylation [GO:1990438]	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; 7SK snRNA binding [GO:0097322]; U6 snRNA binding [GO:0017070]; box C/D RNA 3'-end processing [GO:0000494]; cardiac muscle tissue regeneration [GO:0061026]; cell differentiation [GO:0030154]; mRNA processing [GO:0006397]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of snRNA transcription by RNA polymerase II [GO:1905382]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of mRNA splicing, via spliceosome [GO:0048024]; RNA splicing [GO:0008380]; spermatogenesis [GO:0007283]; U6 2'-O-snRNA methylation [GO:1990438]	GO:0000494; GO:0005634; GO:0005654; GO:0006397; GO:0007283; GO:0008380; GO:0017070; GO:0030154; GO:0048024; GO:0060043; GO:0061026; GO:0097322; GO:1904871; GO:1905382; GO:1990438; GO:1990904
Q9NPI5	NRK2_HUMAN	reviewed	Nicotinamide riboside kinase 2 (NRK 2) (NmR-K 2) (EC 2.7.1.22) (Integrin beta-1-binding protein 3) (Muscle integrin-binding protein) (MIBP) (Nicotinic acid riboside kinase 2) (EC 2.7.1.173) (Ribosylnicotinamide kinase 2) (RNK 2) (Ribosylnicotinic acid kinase 2)	NMRK2 ITGB1BP3 NRK2	Homo sapiens (Human)	NAD biosynthetic process [GO:0009435]; NAD metabolic process [GO:0019674]; negative regulation of myoblast differentiation [GO:0045662]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ribosylnicotinamide kinase activity [GO:0050262]; ribosylnicotinate kinase activity [GO:0061769]; NAD biosynthetic process [GO:0009435]; NAD metabolic process [GO:0019674]; negative regulation of myoblast differentiation [GO:0045662]	GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0009435; GO:0019674; GO:0043231; GO:0045662; GO:0046872; GO:0050262; GO:0061769
Q8N0W4	NLGNX_HUMAN	reviewed	Neuroligin-4, X-linked (Neuroligin X) (HNLX)	NLGN4X KIAA1260 NLGN4 UNQ365/PRO701	Homo sapiens (Human)	adult behavior [GO:0030534]; brainstem development [GO:0003360]; cell-cell junction organization [GO:0045216]; cerebellum development [GO:0021549]; chemical synaptic transmission [GO:0007268]; learning [GO:0007612]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of excitatory postsynaptic potential [GO:0090394]; neuron cell-cell adhesion [GO:0007158]; neuron differentiation [GO:0030182]; organ growth [GO:0035265]; postsynaptic membrane assembly [GO:0097104]; presynapse assembly [GO:0099054]; presynaptic membrane assembly [GO:0097105]; social behavior [GO:0035176]; synapse organization [GO:0050808]; synaptic vesicle endocytosis [GO:0048488]; vocalization behavior [GO:0071625]	asymmetric, glutamatergic, excitatory synapse [GO:0098985]; cell surface [GO:0009986]; dendrite [GO:0030425]; excitatory synapse [GO:0060076]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; presynapse [GO:0098793]; spanning component of membrane [GO:0089717]; symmetric, GABA-ergic, inhibitory synapse [GO:0098983]; synapse [GO:0045202]; cell adhesion molecule binding [GO:0050839]; chloride ion binding [GO:0031404]; neurexin family protein binding [GO:0042043]; protein homodimerization activity [GO:0042803]; scaffold protein binding [GO:0097110]; signaling receptor activity [GO:0038023]; adult behavior [GO:0030534]; brainstem development [GO:0003360]; cell-cell junction organization [GO:0045216]; cerebellum development [GO:0021549]; chemical synaptic transmission [GO:0007268]; learning [GO:0007612]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of excitatory postsynaptic potential [GO:0090394]; neuron cell-cell adhesion [GO:0007158]; neuron differentiation [GO:0030182]; organ growth [GO:0035265]; postsynaptic membrane assembly [GO:0097104]; presynapse assembly [GO:0099054]; presynaptic membrane assembly [GO:0097105]; social behavior [GO:0035176]; synapse organization [GO:0050808]; synaptic vesicle endocytosis [GO:0048488]; vocalization behavior [GO:0071625]	GO:0003360; GO:0005886; GO:0005887; GO:0007158; GO:0007268; GO:0007612; GO:0009986; GO:0016021; GO:0021549; GO:0030182; GO:0030425; GO:0030534; GO:0031404; GO:0035176; GO:0035265; GO:0038023; GO:0042043; GO:0042803; GO:0045202; GO:0045216; GO:0048488; GO:0050804; GO:0050808; GO:0050839; GO:0060076; GO:0071625; GO:0089717; GO:0090394; GO:0097104; GO:0097105; GO:0097110; GO:0098793; GO:0098839; GO:0098983; GO:0098985; GO:0099054
Q9VLP7	MET14_DROME	reviewed	N6-adenosine-methyltransferase non-catalytic subunit (Karyogamy protein 4) (Methyltransferase-like protein 14) (dMettl14)	Mettl14 KAR4 CG7818	Drosophila melanogaster (Fruit fly)	cell differentiation [GO:0030154]; female sex determination [GO:0030237]; mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA methylation [GO:0001510]; RNA splicing [GO:0008380]; sex differentiation [GO:0007548]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]; mRNA (N6-adenosine)-methyltransferase activity [GO:0001734]; mRNA binding [GO:0003729]; cell differentiation [GO:0030154]; female sex determination [GO:0030237]; mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA methylation [GO:0001510]; RNA splicing [GO:0008380]; sex differentiation [GO:0007548]	GO:0000381; GO:0001510; GO:0001734; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0007548; GO:0008380; GO:0030154; GO:0030237; GO:0036396; GO:0080009
Q7ZVX6	UBA3_DANRE	reviewed	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3)	uba3 ube1c zgc:55528	Danio rerio (Zebrafish) (Brachydanio rerio)	protein modification by small protein conjugation [GO:0032446]; protein neddylation [GO:0045116]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; NEDD8 activating enzyme activity [GO:0019781]; protein modification by small protein conjugation [GO:0032446]; protein neddylation [GO:0045116]	GO:0005524; GO:0005634; GO:0005737; GO:0019781; GO:0032446; GO:0045116
Q8NCM8	DYHC2_HUMAN	reviewed	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B)	DYNC2H1 DHC1B DHC2 DNCH2 DYH1B KIAA1997	Homo sapiens (Human)	cilium assembly [GO:0060271]; coronary vasculature development [GO:0060976]; determination of left/right symmetry [GO:0007368]; dorsal/ventral pattern formation [GO:0009953]; embryonic limb morphogenesis [GO:0030326]; forebrain development [GO:0030900]; Golgi organization [GO:0007030]; intraciliary retrograde transport [GO:0035721]; kidney development [GO:0001822]; microtubule-based movement [GO:0007018]; non-motile cilium assembly [GO:1905515]; positive regulation of smoothened signaling pathway [GO:0045880]; protein localization to cilium [GO:0061512]; protein processing [GO:0016485]; spinal cord motor neuron differentiation [GO:0021522]	apical part of cell [GO:0045177]; axoneme [GO:0005930]; ciliary tip [GO:0097542]; cilium [GO:0005929]; cytoplasmic dynein complex [GO:0005868]; dynein complex [GO:0030286]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; motile cilium [GO:0031514]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; motor activity [GO:0003774]; cilium assembly [GO:0060271]; coronary vasculature development [GO:0060976]; determination of left/right symmetry [GO:0007368]; dorsal/ventral pattern formation [GO:0009953]; embryonic limb morphogenesis [GO:0030326]; forebrain development [GO:0030900]; Golgi organization [GO:0007030]; intraciliary retrograde transport [GO:0035721]; kidney development [GO:0001822]; microtubule-based movement [GO:0007018]; non-motile cilium assembly [GO:1905515]; positive regulation of smoothened signaling pathway [GO:0045880]; protein localization to cilium [GO:0061512]; protein processing [GO:0016485]; spinal cord motor neuron differentiation [GO:0021522]	GO:0001822; GO:0003774; GO:0005524; GO:0005794; GO:0005868; GO:0005874; GO:0005886; GO:0005929; GO:0005930; GO:0007018; GO:0007030; GO:0007368; GO:0008569; GO:0009953; GO:0016485; GO:0021522; GO:0030286; GO:0030326; GO:0030900; GO:0031514; GO:0035721; GO:0045177; GO:0045505; GO:0045880; GO:0051959; GO:0060271; GO:0060976; GO:0061512; GO:0070062; GO:0097542; GO:1905515
O88848	ARL6_MOUSE	reviewed	ADP-ribosylation factor-like protein 6	Arl6 Bbs3	Mus musculus (Mouse)	brain development [GO:0007420]; cilium assembly [GO:0060271]; fat cell differentiation [GO:0045444]; intracellular protein transport [GO:0006886]; protein ADP-ribosylation [GO:0006471]; protein localization to cilium [GO:0061512]; protein localization to non-motile cilium [GO:0097499]; protein polymerization [GO:0051258]; protein targeting to membrane [GO:0006612]; protein transport from ciliary membrane to plasma membrane [GO:1903445]; Ras protein signal transduction [GO:0007265]; regulation of smoothened signaling pathway [GO:0008589]; retina layer formation [GO:0010842]; vesicle-mediated transport [GO:0016192]; Wnt signaling pathway [GO:0016055]	axonemal microtubule [GO:0005879]; axoneme [GO:0005930]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; membrane coat [GO:0030117]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; phospholipid binding [GO:0005543]; brain development [GO:0007420]; cilium assembly [GO:0060271]; fat cell differentiation [GO:0045444]; intracellular protein transport [GO:0006886]; protein ADP-ribosylation [GO:0006471]; protein localization to cilium [GO:0061512]; protein localization to non-motile cilium [GO:0097499]; protein polymerization [GO:0051258]; protein targeting to membrane [GO:0006612]; protein transport from ciliary membrane to plasma membrane [GO:1903445]; Ras protein signal transduction [GO:0007265]; regulation of smoothened signaling pathway [GO:0008589]; retina layer formation [GO:0010842]; vesicle-mediated transport [GO:0016192]; Wnt signaling pathway [GO:0016055]	GO:0003924; GO:0005525; GO:0005543; GO:0005737; GO:0005829; GO:0005879; GO:0005929; GO:0005930; GO:0006471; GO:0006612; GO:0006886; GO:0007265; GO:0007420; GO:0008589; GO:0010842; GO:0016020; GO:0016055; GO:0016192; GO:0030117; GO:0045444; GO:0046872; GO:0051258; GO:0060170; GO:0060271; GO:0061512; GO:0097499; GO:1903445
A2VD00	EIF3A_XENLA	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta)	eif3a eif3s10	Xenopus laevis (African clawed frog)	formation of cytoplasmic translation initiation complex [GO:0001732]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]	GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0033290
Q5R685	P85A_PONAB	reviewed	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	PIK3R1	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	cellular glucose homeostasis [GO:0001678]; cellular response to insulin stimulus [GO:0032869]; negative regulation of apoptotic process [GO:0043066]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of RNA splicing [GO:0033120]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; protein transport [GO:0015031]; response to endoplasmic reticulum stress [GO:0034976]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cellular glucose homeostasis [GO:0001678]; cellular response to insulin stimulus [GO:0032869]; negative regulation of apoptotic process [GO:0043066]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of RNA splicing [GO:0033120]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; protein transport [GO:0015031]; response to endoplasmic reticulum stress [GO:0034976]; signal transduction [GO:0007165]	GO:0001678; GO:0005634; GO:0005737; GO:0007165; GO:0015031; GO:0032869; GO:0033120; GO:0034976; GO:0042307; GO:0043066; GO:0045944; GO:0050821; GO:1900103
